id,symbol,exchange_short,exchange_long,instrument_short,instrument_long,entry_spread_pct,peak_spread_pct,exit_spread_pct,entry_price_short,entry_price_long,size_usd,entry_fees_pct,exit_fees_pct,net_pnl_pct,net_pnl_usd,gross_pnl_pct,funding_paid_usd,entry_time,exit_time,exit_reason,duration_min
89,ONGUSDT,Gate.io,Binance,PERP,PERP,0.8149,1.365,1.2915,0.09367072478417347,0.09291400754639904,48.38,0.11,0.11,-0.7522,-0.36,-0.5322,0.0,2026-04-04T18:32:48.953113+00:00,2026-04-04T20:32:51.372740+00:00,timeout,120.0
90,USTCUSDT,Bybit,Bitget,PERP,SPOT,2.1738,3.3916,0.0901,0.004392893482239247,0.004299468657619452,199.08,0.155,0.155,1.8638,3.71,2.1738,0.0,2026-04-04T18:32:49.554965+00:00,2026-04-04T18:43:53.449927+00:00,dynamic_exit,11.1
91,POLYXUSDT,Gate.io,MEXC,PERP,PERP,1.0463,1.5814,1.0453,0.052471818115107594,0.05192864964911394,57.98,0.085,0.085,-0.3436,-0.2,-0.1736,0.0,2026-04-04T18:32:49.876421+00:00,2026-04-04T20:32:52.216444+00:00,timeout,120.0
92,ONGUSDT,Gate.io,MEXC,PERP,PERP,0.8913,1.4697,1.265,0.09388929922778794,0.09306015189461217,67.05,0.085,0.085,-0.6106,-0.41,-0.4406,0.0,2026-04-04T18:32:50.207241+00:00,2026-04-04T20:33:01.863732+00:00,timeout,120.2
93,POLYXUSDT,Bybit,Binance,PERP,PERP,0.7625,1.0254,0.661,0.05227753573106895,0.05188227527699358,199.08,0.1,0.1,-0.1608,-0.32,0.0392,0.0,2026-04-04T18:32:50.855849+00:00,2026-04-04T20:33:02.182748+00:00,timeout,120.2
94,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.1035,1.5431,1.0346,0.05245008137214184,0.05187800472523079,178.32,0.11,0.11,-0.3061,-0.55,-0.0861,0.0,2026-04-04T18:32:55.964712+00:00,2026-04-04T20:33:02.491845+00:00,timeout,120.1
95,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.0997,1.5431,1.083,0.052414816545917925,0.05184500969721674,17.44,0.11,0.11,-0.3092,-0.05,-0.0892,0.0,2026-04-04T18:33:13.651537+00:00,2026-04-04T20:33:21.657280+00:00,timeout,120.1
96,SIRENUSDT,Gate.io,Binance,PERP,PERP,1.636,2.8469,0.6588,0.5448799785612903,0.5361144582384952,14.12,0.11,0.11,0.2595,0.04,0.4795,0.0,2026-04-04T18:35:43.053580+00:00,2026-04-04T18:44:59.912298+00:00,dynamic_exit,9.3
97,USTCUSDT,Bybit,Bitget,PERP,SPOT,2.5315,3.3916,0.0901,0.004408179647357612,0.0042993798075440055,96.92,0.155,0.155,2.2289,2.16,2.5389,0.0,2026-04-04T18:35:43.856587+00:00,2026-04-04T18:43:53.746192+00:00,dynamic_exit,8.2
98,SIRENUSDT,Gate.io,Binance,PERP,PERP,1.8914,2.8469,0.6588,0.5429929508987067,0.5329168225674604,13.34,0.11,0.11,0.4955,0.07,0.7155,0.0,2026-04-04T18:36:03.139249+00:00,2026-04-04T18:45:00.212720+00:00,dynamic_exit,9.0
